"jahr","gemeinde_bfsnr","listen_code","listen_nr","waehlerproz"
2019,251,"CVP",6,NA
2019,251,"EVP",7,NA
2019,251,"AL",8,NA
2019,251,"BDP",9,NA
2019,251,"EDU",10,NA
2019,1,"SVP",1,NA
2019,1,"SP",2,NA
2019,1,"FDP",3,NA
2019,1,"GLP",4,NA
2019,1,"Grüne",5,NA
2019,1,"CVP",6,NA
2019,1,"EVP",7,NA
2019,1,"AL",8,NA
2019,1,"BDP",9,NA
2019,1,"EDU",10,NA
2019,2,"SVP",1,NA
2019,2,"SP",2,NA
2019,2,"FDP",3,NA
2019,2,"GLP",4,NA
2019,2,"Grüne",5,NA
2019,2,"CVP",6,NA
2019,2,"EVP",7,NA
2019,2,"AL",8,NA
2019,2,"BDP",9,NA
2019,2,"EDU",10,NA
2019,3,"SVP",1,NA
2019,3,"SP",2,NA
2019,3,"FDP",3,NA
2019,3,"GLP",4,NA
2019,3,"Grüne",5,NA
2019,3,"CVP",6,NA
2019,3,"EVP",7,NA
2019,3,"AL",8,NA
2019,3,"BDP",9,NA
2019,3,"EDU",10,NA
2019,4,"SVP",1,NA
2019,4,"SP",2,NA
2019,4,"FDP",3,NA
2019,4,"GLP",4,NA
2019,4,"Grüne",5,NA
2019,4,"CVP",6,NA
2019,4,"EVP",7,NA
2019,4,"AL",8,NA
2019,4,"BDP",9,NA
2019,4,"EDU",10,NA
2019,5,"SVP",1,NA
2019,5,"SP",2,NA
2019,5,"FDP",3,NA
2019,5,"GLP",4,NA
2019,5,"Grüne",5,NA
2019,5,"CVP",6,NA
2019,5,"EVP",7,NA
2019,5,"AL",8,NA
2019,5,"BDP",9,NA
2019,5,"EDU",10,NA
2019,6,"SVP",1,NA
2019,6,"SP",2,NA
2019,6,"FDP",3,NA
2019,6,"GLP",4,NA
2019,6,"Grüne",5,NA
2019,6,"CVP",6,NA
2019,6,"EVP",7,NA
2019,6,"AL",8,NA
2019,6,"BDP",9,NA
2019,6,"EDU",10,NA
2019,7,"SVP",1,NA
2019,7,"SP",2,NA
2019,7,"FDP",3,NA
2019,7,"GLP",4,NA
2019,7,"Grüne",5,NA
2019,7,"CVP",6,NA
2019,7,"EVP",7,NA
2019,7,"AL",8,NA
2019,7,"BDP",9,NA
2019,7,"EDU",10,NA
2019,8,"SVP",1,NA
2019,8,"SP",2,NA
2019,8,"FDP",3,NA
2019,8,"GLP",4,NA
2019,8,"Grüne",5,NA
2019,8,"CVP",6,NA
2019,8,"EVP",7,NA
2019,8,"AL",8,NA
2019,8,"BDP",9,NA
2019,8,"EDU",10,NA
2019,9,"SVP",1,NA
2019,9,"SP",2,NA
2019,9,"FDP",3,NA
2019,9,"GLP",4,NA
2019,9,"Grüne",5,NA
2019,9,"CVP",6,NA
2019,9,"EVP",7,NA
2019,9,"AL",8,NA
2019,9,"BDP",9,NA
2019,9,"EDU",10,NA
2019,10,"SVP",1,NA
2019,10,"SP",2,NA
2019,10,"FDP",3,NA
2019,10,"GLP",4,NA
2019,10,"Grüne",5,NA
2019,10,"CVP",6,NA
2019,10,"EVP",7,NA
2019,10,"AL",8,NA
2019,10,"BDP",9,NA
2019,10,"EDU",10,NA
2019,11,"SVP",1,NA
2019,11,"SP",2,NA
2019,11,"FDP",3,NA
2019,11,"GLP",4,NA
2019,11,"Grüne",5,NA
2019,11,"CVP",6,NA
2019,11,"EVP",7,NA
2019,11,"AL",8,NA
2019,11,"BDP",9,NA
2019,11,"EDU",10,NA
2019,12,"SVP",1,NA
2019,12,"SP",2,NA
2019,12,"FDP",3,NA
2019,12,"GLP",4,NA
2019,12,"Grüne",5,NA
2019,12,"CVP",6,NA
2019,12,"EVP",7,NA
2019,12,"AL",8,NA
2019,12,"BDP",9,NA
2019,12,"EDU",10,NA
2019,13,"SVP",1,NA
2019,13,"SP",2,NA
2019,13,"FDP",3,NA
2019,13,"GLP",4,NA
2019,13,"Grüne",5,NA
2019,13,"CVP",6,NA
2019,13,"EVP",7,NA
2019,13,"AL",8,NA
2019,13,"BDP",9,NA
2019,13,"EDU",10,NA
2019,14,"SVP",1,NA
